comment_id,is_useful,project,revision_id,parent_revision,branch,file_name,directory,change_type,line_number,message,RPT,review_date,change_id,request_id,reviewer_id,reviewer_name,author_id,category,comment_group,RCE,PRC,MR,RI,PN,CCR,FUR,DUR,IBF,INF,base_total_loc,reviewer_own_loc,total_commit,reviewer_made_commit,WRC,CL,comment_loc,CCY,RCSH,CV,RCS,file_total_review,prior_directory_review_count,PFRC,directory_review_experience,avg_rating,manual_rating,final_patch_number,final_revision,file_review_ratio,directory_review_ratio,file_ownership,recent_review,sample_rating,definition_rating,PDL,review_length,PDR
1f769fc5_01a2699b,0,openstack%2Fnova,c6e7cc927f0e202ef4a1faa643b0e3398c033443,f12144e9baee940e4129194399901d4277eb4ebc,master,releasenotes/notes/versioned-notification-interface-is-complete-06725d7d4d761849.yaml,releasenotes/notes,A,4,"nit: Maybe we want to say ""The implementation of .. is now complete"".",25,12/24/18 23:53,I22586e470356cca5238b94faf257d8886742618f,624022,6167,Ken'ichi Ohmichi,9708,Documentation,FALSE,325,3169,22,1262625,1,10,1,1,0,1,10,0,0,0,0,10,10,1,0,1,0,0,18309,0,350,0,0,1,c6e7cc927f0e202ef4a1faa643b0e3398c033443,0,0.0191163,0,0,0,0,39,12,11.41
1f769fc5_06e90819,1,openstack%2Fnova,7114549fe5449279a8169cce6e41652118cd042f,f554c613333412e94e980a965ce55cda16cc35fe,master,api-ref/source/servers-actions.inc,api-ref/source,M,285,must be?,47,12/27/18 16:21,Iee81ee4ed6d6bbfa2c17955396d4ff7f36f08017,615084,15334,Stephen Finucane,7634,Documentation,DOCUMENT,450,2921,277,222035,7,26,1,1,1,0,1103,0,58,0,0,173,173,1,0,1,0,70,1687,14,152,3.73,1,13,a925c8b06de9205eb69ff1272d8a64f06dfe7eda,0.2,0.0901008,0,0.0422535,3.63,3.83,26,2,52.36
1f769fc5_0b94c843,1,openstack%2Fnova,5f2ec710cf38be6c23e04ce40e8a298d50e3b79d,5d748001c2ffb1197ff991ca69a95865087f1010,master,releasenotes/notes/bug-1414895-8f7d8da6499f8e94.yaml,releasenotes/notes,A,20,This has to be indented by two spaces.,47,12/24/18 14:30,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Visual Representation,REFACTOR,450,2939,46,8141,18,90,6,4,1,1,24,0,0,0,0,23,23,1,0,1,0,0,17924,0,482,2.915,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0,0.0268913,0,0,2.71,3.12,274,8,42.04
1f769fc5_0bcfe87f,1,openstack%2Fnova,5f2ec710cf38be6c23e04ce40e8a298d50e3b79d,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/libvirt.py,nova/conf,M,807,"ditto, though the other options are wrong here (and we don't want unrelated changed, especially not if this is being backported) so maybe leave this one",47,12/24/18 14:30,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Other,OTHER,450,2939,46,8141,18,90,6,4,1,0,1279,0,108,0,0,1280,25,1,0,0.0195312,0,148,1038,58,442,0,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.391892,0.425819,0,0.155179,0,0,274,27,42.04
1f769fc5_0e35acda,1,openstack%2Fnova,f986cfdc0742b0607b5ce8c58526336512451731,4022171a61291bf2d566d4361e165af88c7058a6,master,doc/source/contributor/api-ref-guideline.rst,doc/source/contributor,M,235,"Yeah, seems you should not remove the original line, as it shows the rule, and this line is an example inlustrate the rule.",46,12/26/18 2:50,I7a8a8d64dfc49b1e15135259388285ceeae2fb2c,625454,15888,Zhenyu Zheng,7634,Documentation,DOCUMENT,228,1356,155,784435,1,12,1,1,1,0,398,0,5,0,0,396,396,1,0,1,0,7,1364,4,16,3.73,2,4,64f97177c563428c7cb0e2eba14414cae2bb8ca9,0.571429,0.0117302,0,0.357143,3.63,3.83,21,23,69.11
1f769fc5_18ff2aab,1,openstack%2Fnova,63d77bf63fd474d10fd7cac5f725784737bafa1a,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/workarounds.py,nova/conf,M,244,instances_path,69,12/26/18 20:20,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,6873,Matt Riedemann,10135,Documentation,DOCUMENT,2115,6386,343,192718,19,90,6,4,1,0,225,0,16,0,0,255,14,1,0,0.054902,0,27,1038,16,402,3.73,2,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.592593,0.387283,0,0.359788,3.63,3.83,274,2,42.04
1f769fc5_1a73a782,0,openstack%2Fnova,43327398406d3b167b685334a1436e08b3164be9,0156d6d07df91a399dd4874db4e7bef778e5595e,master,doc/source/contributor/api-ref-guideline.rst,doc/source/contributor,M,174,"This ""e.g."" seems unnecessary.",25,12/25/18 22:12,I458795a4f745a0699bc8de40aaa2b3c03c762422,627282,6167,Ken'ichi Ohmichi,7634,Documentation,FALSE,325,3195,220,45828,1,5,1,1,1,0,437,0,6,0,0,442,442,1,0,1,0,12,1379,7,31,0,0,10,d078b95b59e08dc35903f2d93417c3c50dca9a00,0.583333,0.0224801,0,0.358974,0,0,29,5,66.23
1f769fc5_23898422,1,openstack%2Fnova,cf7ee45e840925530d0f0a961ab8d6e1ccb481ca,a1dba961f0018a4995d208a290f4a859ce295840,master,nova/api/openstack/wsgi_app.py,nova/api/openstack,M,16,"Tried this patch without this line in https://review.openstack.org/#/c/620561/15/run_tests.sh@222 (wsgi Fedora python3 deployment) and it's working(just 1 tempest test test_add_remove_fixed_ip is failing([1]) which seems regression of https://github.com/openstack/tempest/commit/d4cb10f1451af0d204722ea57eb52d46ebde783b), Seen 1 pass in CentOS so seems an intermittent but a valid issue.

https://logs.rdoproject.org/61/620561/15/openstack-check-rdo/puppet-openstack-integration-5-scenario-py3-tempest-fedora-28/1af14f9/logs/testr_results.html.gz",51,12/31/18 6:23,Id46e76666b553a10ec4654d4418a9884975b5b95,626952,13861,yatin,10135,Organization of code,REFACTOR,4,6,0,824893,1,18,2,2,1,0,100,0,6,0,0,106,19,8,0,0.179245,0,10,960,0,0,3.68,2,13,3c5e2b0e9fac985294a949852bb8c83d4ed77e04,0,0,0,0,3.74,3.62,24,87,30.53
1f769fc5_3a22f053,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,166,"the NetworkInfo is a list of VIFs, not ports...",93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Naming Convention,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,3.43,2,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.75,3.11,101,9,40.14
1f769fc5_4b52bb69,1,openstack%2Fnova,cb1fe3d93fceb1258b672280fc179094a2becd9d,f554c613333412e94e980a965ce55cda16cc35fe,master,doc/source/user/flavors.rst,doc/source/user,M,762,"could it be better if you can briefly introduce what this example represetns? I mean, it seems a little bit too hard for people with no background to see what can we do with this kind of feature.",46,12/25/18 7:02,I4878df606037ca95441bdefd748f4fc9eabedf97,621494,15888,Zhenyu Zheng,7634,Documentation,DOCUMENT,221,1331,148,15724,3,43,1,1,1,0,723,0,21,0,0,766,766,1,0,1,0,24,1501,7,45,3.73,2,11,6cc88bab4fd1894934596546028b13701f6082d4,0.291667,0.02998,0,0.0933333,3.63,3.83,26,38,42.38
